philadelphia,atlanta,austin,boston,cambridge,rtp,sanfran,sanjose,seattle,washdc
421010077001,131210012011,484530007001,250250303001,250173531012,370639801001,60750226001,60855017001,530330074014,110010042022
421010078001,131210012021,484530009012,250250303002,250259815011,NA,60750227021,60855008001,530330084001,110010053014
421010078002,131210012012,484530006042,250250606001,250173529001,NA,60750227022,60855008002,530330080015,110010050021
421010078003,131210013002,484530008033,250250612001,250173526001,NA,60750607003,60855017004,530330084003,110010055004
421010078004,131210010011,484530008042,250250701011,250173527002,NA,60750227041,60855009021,530330080021,110010055005
421010078005,131210011001,484530011001,250250701012,250173521022,NA,60750615005,60855016002,530330074021,110010056004
421010079001,131210011003,484530006012,250250701013,250173528002,NA,60750607001,60855009022,530330074012,110010056003
421010079002,131210021001,NA,250250702001,250173528001,NA,60750607002,60855017003,530330067003,110010055002
421010079003,131210018003,NA,250250303004,250173533001,NA,60750180001,60855009011,530330065002,110010055003
421010079004,131210019002,NA,250250701017,250173531022,NA,60750180002,60855009012,530330066001,110010056001
421010086011,131210012022,NA,250250701018,250173531021,NA,NA,60855010002,530330067001,110010108001
421010086012,131210010012,NA,NA,250173530002,NA,NA,60855010003,530330067002,110010101002
421010086021,131210010021,NA,NA,250173530004,NA,NA,60855010004,530330082001,110010053013
421010086022,131210011002,NA,NA,250173521021,NA,NA,60855013004,530330082003,110010052011
421010086023,131210019001,NA,NA,250173523002,NA,NA,60855013003,530330083002,110010052014
421010087011,131210013003,NA,NA,250173523001,NA,NA,60855016001,530330080022,110010050023
421010087012,NA,NA,NA,250250108023,NA,NA,60855016003,530330071002,110010056002
421010087013,NA,NA,NA,250173532002,NA,NA,60855016005,530330072001,110010001002
421010087021,NA,NA,NA,250173532001,NA,NA,60855017002,530330073001,110010042012
421010087022,NA,NA,NA,250250108021,NA,NA,60855010005,530330070003,110010042021
421010088011,NA,NA,NA,250173522001,NA,NA,NA,530330073002,110010108003
421010088012,NA,NA,NA,250173524001,NA,NA,NA,530330073003,110010108002
421010088021,NA,NA,NA,250173524002,NA,NA,NA,530330074011,110010050024
421010088022,NA,NA,NA,250173525001,NA,NA,NA,530330074013,110010050022
421010088023,NA,NA,NA,250173525002,NA,NA,NA,530330080011,110010053011
421010088024,NA,NA,NA,250173526002,NA,NA,NA,530330080014,110010050012
421010090001,NA,NA,NA,250173527001,NA,NA,NA,530330072003,110010101001
421010090002,NA,NA,NA,250173530001,NA,NA,NA,530330072002,110010052013
421010090003,NA,NA,NA,250173530003,NA,NA,NA,530330074023,110010052012
421010090004,NA,NA,NA,250250108013,NA,NA,NA,530330074022,110010053012
421010091001,NA,NA,NA,250250108022,NA,NA,NA,530330080012,110010107002
421010091002,NA,NA,NA,250173531023,NA,NA,NA,NA,110010107001
421010091003,NA,NA,NA,250173531011,NA,NA,NA,NA,110010055001
421010369001,NA,NA,NA,NA,NA,NA,NA,NA,NA
421010369002,NA,NA,NA,NA,NA,NA,NA,NA,NA
421010369003,NA,NA,NA,NA,NA,NA,NA,NA,NA
